Tên Phim,Tên Khác,Nội Dung,Thể Loại,Rating,Số lượng đánh giá,Năm Phát Hành,Image
Re:Zero kara Hajimeru Break Time 2nd Season,,Phần 2 các tập phim ngắn đặc biệt hài hước có tính năng phiên bản chibi của các nhân vật trong phim Re:Zero,"Anime,Giả tưởng,Phiêu lưu",8.4,106,2020,https://animehay.life/upload/poster/3069.jpg
BURN ☩HE WITCH,Burn the Witch,"Trong lịch sử, 72% tổng số ca tử vong ở London đều do Rồng - những sinh vật huyền bí vô hình đối với con người gây nên. Tuy nhiên, vẫn có một số ít người luôn âm thầm đứng lên chống lại lũ Rồng.  Đó là những cư dân của Ngịch London (Reverse London), sống ở phần ""mặt sau"" ẩn của London, họ có khả năng nhìn thấy Rồng. Nhưng dù vậy, chỉ một số người được đánh giá đủ tiêu chuẩn trở thành phù thủy hoặc pháp sư mới có thể tiếp xúc trực tiếp với chúng.  Nhân vật chính của câu chuyện là bộ đôi phù thủy Noel Niihashi và Ninny Spangcole. Họ là những cảnh binh bảo hộ cho Wing Bind (WB), một tổ chức quản lý và bảo tồn Rồng. Nhiệm vụ của họ là thay mặt người dân bảo vệ và quản lý những con rồng ở London. Cùng với họ là Balgo, một Rồng Ám tức những người tiếp xúc với Rồng quá lâu mà không sao và gần như trở thành Rồng, vậy nên họ có trách nhiệm giám sát cậu ta.","Anime,Hành động,Siêu nhiên,Shounen",9.3,55,2020,https://animehay.life/upload/poster/3137.jpg
Tenka Hyakken: Meiji-kan e Youkoso!,,"Tenka Hyakken được nhượng quyền lại để sản xuất lên anime xoay quanh về Mitsurugi, những thiếu nữ là hóa thân của những thanh kiếm cổ xưa. Họ đã cam kết sống cuộc sống yên bình sau kỷ nguyên chiến tranh, nhưng hiện đang quay trở lại chiến đấu để chiến đấu với một kẻ thù mới phát sinh trong một phiên bản thay thế của Thời đại Meiji, 300 năm sau Trận Sekigahara.","Anime,Hành động,Lịch sử,Võ thuật,Giả tưởng,Phiêu lưu,Siêu nhiên",8.2,106,2019,https://animehay.life/upload/poster/2910.jpg
Gekijouban High School Fleet,High School Fleet Movie,Tiếp tục dòng thời gian Haifuri,"Anime,Hành động,Viễn tưởng,Phiêu lưu,Học đường,Đời thường,Quân đội",9.3,30,2020,https://animehay.life/upload/poster/3138.jpg
Gundam Build Divers Re:Rise,,New Gundam Rebuild Divers loạt stream theo đường chính thức Gundam Channel.,"Anime,Viễn tưởng,Trò chơi,Mecha",8.3,107,2019,https://animehay.life/upload/poster/2904.jpg
"Donten ni Warau Gaiden 1: Ketsubetsu, Yamainu no Chikai",,,"Anime,Hành động,Lịch sử,Shoujo",6.9,22,2017,https://animehay.life/upload/poster/3080.jpg
"Donten ni Warau Gaiden 3: Ouka, Tenbou no Kakehashi",,,"Anime,Hành động,Lịch sử,Shoujo",6.7,21,2018,https://animehay.life/upload/poster/3082.jpg
"Donten ni Warau Gaiden 2: Shukumei, Soutou no Fuuma",,,"Anime,Hành động,Lịch sử,Shoujo",6.2,17,2018,https://animehay.life/upload/poster/3081.jpg
Tamayomi,,"Câu chuyện xoay quanh tay ném bóng thiên tài Yomi Takeda. Vào thời sơ trung, câu lạc bộ bóng chày của cô không thể tiến xa hơn được vì họ không có một tay bắt bóng đủ giỏi để bắt được ""quả bóng kỳ diệu"" của Yomi. Yomi từ bỏ bóng chày. Sau khi tốt nghiệp sơ trung, cô nhập học tại trường cao trung Shin Koshigaya. Tại nơi ấy, Yomi gặp lại người bạn thời thơ ấy Tamaki Yamazaki. Tamaki là một tay bắt bóng tài giỏi và có thể bắt lấy bóng do Yomi ném. Các cô gái ấy sau cùng cũng đã có thể hoàn thành ước mơ của mỗi ngừoi khi họ cùng nhau bắt đầu cuộc hành trình bóng chày Đón xem tập mới tại VuiGhe.Tv","Anime,Học đường,Đời thường,Seinen,Thể thao",8.2,56,2020,https://animehay.life/upload/poster/3007.jpg
Pokémon: Twilight Wings,Hakumei no Tsubasa,,"Anime,Hành động,Hài hước,Giả tưởng,Phiêu lưu",8.5,47,2020,https://animehay.life/upload/poster/2992.jpg
Bungo to Alchemist: Shinpan no Haguruma,Bungou to Alchemist Shinpan no Haguruma,"Bạn đang ở trong một thế giới nơi bạn có thể gặp các nhà văn lịch sử nổi tiếng của Nhật Bản. Với một bữa tiệc gồm các nhà văn khác, bạn đi sâu vào những cuốn sách bị ô nhiễm để thanh lọc chúng, mở khóa bí mật và có được những đồng minh mới.","Anime,Hành động,Giả tưởng,Phiêu lưu",7.4,80,2020,https://animehay.life/upload/poster/3010.jpg
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,,2 tập ONA của bộ phim Boku no Hero Academia,"Anime,Hành động,Hài hước,Học đường,Shounen,Siêu năng lực",9.5,131,2020,https://animehay.life/upload/poster/3083.jpg
K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,"K: SEVEN STORIES ""SIDE:GREEN - Overwrite World","Trở lại khoảng thời gian trước khi Lục Tộc bắt đầu kế hoạch của mình. JUNGLE nổi lên như một mạng xã hội mở, nơi người chơi dựa vào việc hoàn thành nhiệm vụ để tăng cấp. Gojou Sukuna lúc bây giớ mới chỉ Hạng U, trong một nhiệm vụ bị gài bẫy, cậu lần đầu tiên được nói chuyện với Lục Vương. Câu chuyện lần này sẽ kể về lí do vì sao Sukuna quy phục và gia nhập Lục Tộc.","Anime,Hành động,Siêu nhiên,Drama",9.3,21,2018,https://animehay.life/upload/poster/3086.jpg
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,,,"Anime,Tình cảm,Hài hước,Học đường",9.6,501,2020,https://animehay.life/upload/poster/3087.jpg
Kamen Rider Zero-One,,"Xã hội Nhật Bản đã bước qua thời kì mới ứng dụng trí thông minh nhân tạo (AI) vào đời sống. Đặc biệt là thế hệ robo AI tên gọi Humagia, do tập đoàn công nghệ AI, Hiden Inteligence, phát triển. Tuy nhiên, có một tổ chức khủng bố không muốn AI Robo phục vụ xã hội loài người tốt hơn nên đã hack vào hệ thống Humagia hòng tiêu diệt nhân loại. Tổ chức đó gọi là ""Metsuboujinrai.net"" Chính phủ Nhật Bản đã thành lập cơ quan đặc biệt chống AI gọi tắt là A.I.M.S, có nhiệm vụ săn lùng các AI robốt Humagia đã bị hack và duy trì an ninh. Hiden Aruto, một chàng trai có mơ ước trở thành diễn viên hài, mặc dù nghề này đã bị thay thế bởi AI robo. Một ngày kia ông nội của Hiden, nhà sáng lập kiêm chủ tịch Hiden Inteligence qua đời. Aruto được chỉ định làm tân chủ tịch của Hiden Inteligence. Aruto không hứng thú với chức chủ tịch tập đoàn lớn, nhưng tận mắt chứng kiến tình cảnh thảm thương của Humagia do Metsuboujinra.net hack nên cậu quyết định nhậm chức và sử dụng Zero-One Driver, henshin thành Kamen Rider Zero-One! Aruto chính thức bước vào trận chiến vì các AI robo. Không chỉ chống lại Metsuboujinrai.net và còn cả A.I.M.S vốn không mấy thân thiện với AI.","Anime,Tokusatsu",8.9,193,2018,https://animehay.life/upload/poster/2864.jpg
K: SEVEN STORIES MOVIE 4 - Lost Small World - Ori no Mukou ni,,"Trong Movie 4 này ta sẽ tiếp tục với Xích Tộc, được gặp gỡ Saruhiko và Misaki thời niên thiếu, hoà chung vào cuộc phiêu lưu của hai người.  Hé lộ thêm cuộc sống tẻ nhạt trước khi hai người biết về sự tồn tại của các vị Vương và về bố mẹ của Saruhiko.","Anime,Hành động,Siêu nhiên,Drama",8.5,15,2018,https://animehay.life/upload/poster/3088.jpg
Sakura Kakumei ~ Hana Saku Otome-Tachi,,"Năm 100 của thời đại Taisho.  Sau vụ nổ thảm họa xảy ra 16 năm trước, gần như cả Thủ Đô Tokyo đã bị phá hủy đồng thời chôn vùi cả nền “Kỹ thuật hơi nước”. Thủ Đô hiện tại đã được tái tạo nhờ một loại năng lượng mới dựa trên sức mạnh tâm linh, ""Mirai.""  Tuy nhiên, với việc kích hoạt “Tháp Thủ Năng Lượng Mới”, hoa anh đào không còn nở nữa và những con quỷ được gọi là Kouki bắt đầu gia tăng về số lượng, tấn công người dân trên khắp đất nước. “Sư Đoàn Kịch B.L.A.C.K” với màn biểu diễn trực tiếp tuyệt vời và nhờ sức mạnh của những cô gái này mà Thủ Đô đã trở nên yên bình.  Với Mirai và B.L.A.C.K., người dân nghĩ rằng đặt niềm tin vào chính phủ sẽ mang lại hòa bình tiếp tục. Mặc dù một số ít đã nhận ra rằng sự thịnh vượng này là một lời nói dối. Họ tự gọi mình là ""Sư Đoàn Kịch Những Đóa Hoa."" Với mục tiêu đưa kế hoạch sự thực của chính phủ ra ánh sáng và lấy lại Nhật Bản!","Anime,Hành động,Lịch sử",9.1,21,2020,https://animehay.life/upload/poster/3089.jpg
Ta ga Tame no Alchemist,"For Whom the Alchemist Exists, Dare ga Tame no Alchemist","Movie này dựa trên game. Fuji & gumi Games đã cho ra mắt game vào tháng 1 năm 2016. Đây là một game nhập vai chiến lược, xoay quanh 7 nhân vật và chủ đề là thất hình đại tôi. Game lấy bối cảnh ở lục địa Bavel, đây là nơi tháp Babel được khổng lồ bao phủ cả 7 quốc gia. Sau khi thuật giả kim phát triển, tháp Babel đã bị sử dụng như một vũ khí chiến tranh, khiến cho nhân loại dần rơi vào cảnh tuyệt chủng. Kể từ đó, cả 7 quốc gia đã cấm thuật giả kim trong suốt hàng trăm năm nhằm duy trì nền hòa bình mỏng manh này. Vào năm thứ 911, quốc gia Lustrice đã phá bỏ hiệp ước bằng cách xây dựng nên một đội quân sinh ra từ thuật giả kim, với tham vọng xâm chiếm toàn bộ lục địa này. Dẫn đầu bởi Envylia, 6 quốc gia còn lại đã hiệp sức và lật đổ đất nước Lustrice, giả kim thuật tiếp tục bị chìm vào quên lãng. Nhưng 20 năm sau cuộc chiến ấy, giả kim thuật một lần nữa lại xuất hiện, làm xáo trộn cả vùng đất ấy.","Anime,Hành động,Giả tưởng,Phiêu lưu",7.8,37,2019,https://animehay.life/upload/poster/3090.jpg
Sword Art Online: Alicization - War of Underworld,Sword Art Online ss3 2nd ; Sword Art Online ss4,Nửa phần còn lại của Sword Art Online Alicization,"Anime,Hành động,Tình cảm,Giả tưởng,Phiêu lưu,Trò chơi",9.7,3413,2019,https://animehay.life/upload/poster/2903.jpg
Fruits Basket (2019) 2nd Season,"Hóa Giải Lời Nguyền, Giỏ Trái Cây",Phần thứ 2 của phiên bản làm lại của series Fruits Basket ra mắt năm 2019,"Anime,Tình cảm,Hài hước,Đời thường,Siêu nhiên,Drama,Shoujo",9.2,179,2020,https://animehay.life/upload/poster/3022.jpg
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,,Mùa 2 của bộ phim .,"Anime,Hành động,Hài hước,Siêu nhiên,Shounen,Bí ẩn,Drama",8.1,94,2020,https://animehay.life/upload/poster/3064.jpg
Deca-Dence,,"Một ngày nọ, lũ quái vật Gadoll đột nhiên xuất hiện xóa sổ 90% dân số trên thế giới, đẩy loài người vào diệt vong. Trong thời khắc nguy khó, một nhóm mang tên Sức Mạnh đã đứng lên chống lại Gadoll, họ sử dụng lấy oxyone, một chất trong máu của Gadoll, để xây dựng nên pháo đài di động Deca-Dence. Phần còn lại của loài người được cho phép sống trong bể chứa oxyone của pháo đài đó. Họ trở thành những Tanker (người sống trong bể chứa), sống và phục vụ những công việc hậu cần cho tổ chức Sức Mạnh.","Anime,Hành động,Viễn tưởng,Giả tưởng",9.0,280,2020,https://animehay.life/upload/poster/3066.jpg
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Oregairu ss 3 ; Chuyện tình thanh xuân bi hài của tôi quả nhiên là sai lầm ss 3,Phần thứ 3 của series Yahari Ore no Seishun Love Comedy wa Machigatteiru,"Anime,Tình cảm,Hài hước,Học đường,Drama",9.8,1857,2020,https://animehay.life/upload/poster/3067.jpg
Arte,,"Firenze thế kỷ 16, Italy. Một cô gái với tham vọng nghệ thuật được sinh ra trong thời kỳ phục hưng, nơi mà nghệ thuật đang phát triển mạnh mẽ. Ở một góc nhỏ của con phố rộng lớn này, hành trình của một cô gái bắt đầu. Cô ước mơ trở thành một nghệ sĩ, sự nghiệp của cô đã bất khả thi khi sinh ra trong một gia đình quý tộc. Vào thời đó, nghệ thuật chỉ là một nghề dành cho nam giới và phụ nữ đã phải đối diện với sự phân biệt giới tính vô cùng mạnh mẽ. Bất chấp những thách thức này, Arte vẫn kiên trì theo đuổi đam mê của mình!","Anime,Tình cảm,Lịch sử,Đời thường,Seinen",8.6,79,2020,https://animehay.life/upload/poster/3014.jpg
Shironeko Project: Zero Chronicle,"White Cat Project, Rune Story, Zero Chronicle","Phim được chuyển thể từ game dành cho điện thoại cùng tên Shironeko Project được phát hành trên điện thoại tại Nhật hồi năm 2014 và tại Mỹ với tựa đề Rune Story năm 2015. Bản tiếng Anh của game đã ngừng cập nhật vào năm 2016. Đây là một dạng game 3D nhập vai, hành động chủ yếu là chiến đấu, người chơi có thể thành lập nhóm bốn người để giao tranh cùng kẻ địch. Xây dựng thành phố trong game cũng là một khía cạnh đặc biệt gây ảnh hưởng đến cách phát triển nhân vật của người chơi.","Anime,Hành động,Giả tưởng,Phiêu lưu",8.1,419,2020,https://animehay.life/upload/poster/3025.jpg
Tower of God,Kami no Tou,"Câu truyện xoay quanh Bam, một cậu bé sống đơn độc dưới tòa tháp bí ẩn với người bạn thân duy nhất của mình là Rachel. Ngày nọ, Rachel quyết định bước vào tòa tháp để tìm kiếm lấy những vì sao, bỏ lại Bam một mình đơn độc. Quyết định muốn tìm lại Rachel, Bam dấn thân vào cuộc hành trình nguy hiểm vượt qua các thử thách gian khó để leo lên ngọn tháp thần.","Anime,Hành động,Giả tưởng,Phiêu lưu,Bí ẩn,Drama",9.3,723,2020,https://animehay.life/upload/poster/3006.jpg
Piano no Mori  (2018),Forest of Piano,"Một câu chuyện yên tĩnh về hai chàng trai từ các tầng lớp rất khác nhau. Kai, sinh ra là con trai của một gái mại dâm, người đang chơi đàn piano bị bỏ rơi trong khu rừng gần nhà của anh kể từ khi anh còn trẻ. Và mặt khác  Syuhei là con trai của một gia đình nghệ sĩ dương cầm uy tín. Tuy nhiên, đó là mối quan hệ chung của họ với cây đàn piano mà cuối cùng đan xen con đường của họ trong cuộc sống.","Anime,Học đường,Đời thường,Drama,Seinen,Âm nhạc,Hài hước,Phiêu lưu",8.7,162,2018,https://animehay.life/upload/poster/2540.jpg
Plunderer,,"Câu truyện kể về một thế giới huyền ảo được chi phối bởi những con số. Mỗi một người khi chào đời sẽ có một con số in hằn trên cơ thể gọi là ""Count"" nhằm để đếm sự xứng đáng của họ đối với thế giới. Nếu như Count của một người bị giảm xuống còn 0, người đó sẽ bị kéo xuống Abyss, loại bỏ khỏi thế giới mà họ đang sống. Và mẹ của cô bé Hina là người đã bị kéo xuống Abyss khi cô còn rất nhỏ. Trước khi mất, bà đã giao cho cô nhiệm vụ tìm kiếm lấy Kích Trụy Vương (hay còn được gọi là Ace/Red Baron). Tuân theo di nguyện của mẹ, Hina đã lên đường đi tìm người anh hùng huyền thoại suốt 5 năm ròng...","Anime,Hành động,Viễn tưởng,Giả tưởng,Shounen",9.3,1216,2020,https://animehay.life/upload/poster/2935.jpg
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen Season 2,"Kaguya-sama ss2, Kaguya-sama 2",Phần 2 của Kaguya-sama wa Kokurasetai,"Anime,Tình cảm,Hài hước,Học đường,Seinen,Psychological",9.8,1329,2020,https://animehay.life/upload/poster/3035.jpg
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,Special Crime Investigation Unit - Special 7,"Lấy bối cảnh của Tokyo ở một thế giới khác, câu chuyện dõi theo bước chân của Tokunana – một đơn vị tập hợp những người đặc biệt thuộc Phòng Cảnh sát Thủ đô. Tokunana chiến đấu chống lại “Nine” – một tổ chức tội phạm chuyên tôn thờ những con rồng đã từng tồn tại ở thế giới này.","Anime,Hành động",8.0,39,2019,https://animehay.life/upload/poster/2916.jpg
Gleipnir,,"Shuichi Kagaya là một học sinh trung học bình thường sống tại một thị trấn buồn tẻ. Nhưng khi cô bạn gái xinh đẹp cùng lớp bị bắt gặp ở một vụ cháy cậu phát hiện ra mình có một sức mạnh bí ẩn đó là biến thành một chú chó tay cầm súng và có dây kéo ở lưng. Kagaya cứu mạng cô gái, chia sẻ bí mật của mình với cô. Nhưng cô ấy đang tìm kiếm người chị đã giết gia đình mình và cô ấy không quan tâm đến việc bất chấp mọi giá nào: cô nàng này sẽ sử dụng Shuichi để hoàn thành nhiệm vụ của mình.","Anime,Hành động,Siêu nhiên,Ecchi,Bí ẩn",9.5,505,2020,https://animehay.life/upload/poster/3017.jpg
Princess Connect!,PRINCESS CONNECT: RE DIVE,"Dựa theo một game cùng tên của Cygames, chuyện kể về cuộc hành trình hài hước của một chàng trai bị mất trí nhớ đang trên đường tìm lại ký ức với những người lần đầu tiên anh gặp mặt và vén lên bức màn sự thật của thế giới này.","Anime,Hành động,Tình cảm,Hài hước,Viễn tưởng,Giả tưởng,Phiêu lưu,Harem,Drama,Trò chơi",9.1,776,2015,https://animehay.life/upload/poster/2763.jpg
Kitsutsuki Tanteidokoro,Woodpecker Detective's Office | Văn phòng thám tử Chim Gõ Kiến,"Nội dung của phim sẽ kể về hành trình phá án ly kỳ của thiên tài thi ca Ishikawa Takuboku và nhà ngôn ngữ học lừng danh Kindaichi Kyosuke vào thời Minh Trị. Takuboku vì rơi vào cảnh bần cùng, tài chính kiệt quệ đã phải bỏ làm thơ để mở một văn phòng thám tử tư tại nơi mình ở có tên là Văn Phòng Thám Tử Chim Gõ Kiến. Trợ lý của anh là Kindaichi Kyosuke, một người thông minh, bản lĩnh. Hai người kết hợp với nhau để phá các vụ án kỳ lạ, có cái tên nghe rùng rợn như: Những bóng ma trong tòa tháp 12 tầng ở Asakusa hay Bóng hình ăn thịt người lạc lối dưới đường tuyết đêm.","Anime,Bí ẩn",7.4,40,2020,https://animehay.life/upload/poster/3038.jpg
Cencoroll 2,Cencoroll Connect,"Câu chuyện của Cencoroll bắt đầu khi một con quái vật đột ngột xuất hiện khi cư dân trong thị trấn vô cùng hoảng sợ, chỉ trừ cô gái tên Yuki và cậu bạn cùng trường Tetsu. Tetsu tình cờ có một con thú cưng kì quặc tên là Cenco. Một chàng trai khác tên Shuu có khả năng điều khiển quái vật cũng đã xuất hiện đe dọa cả thi trấn, và trận chiến đã nổ ra.","Anime,Hành động,Viễn tưởng",8.9,30,2019,https://animehay.life/upload/poster/3057.jpg
Girls & Panzer: Taiyaki War!,"Girls & Panzer: Saishuushou Special, Girls und Panzer das Finale OVA",Tập đặc biệt của Girls & Panzer,"Anime,Hài hước,Học đường,Quân đội",7.1,15,2020,https://animehay.life/upload/poster/3058.jpg
Mr. Fixer,,MV ca nhạc,"Anime,Viễn tưởng,Bí ẩn",8.6,37,2020,https://animehay.life/upload/poster/3062.jpg
Healin' Good♡Precure,,Sê-ri,"Anime,Hành động,Siêu nhiên,Shoujo",6.4,22,2020,https://animehay.life/upload/poster/2991.jpg
"Shachou, Battle no Jikan Desu!","President, It's Time for Battle!, Shachibato The Animation","Nội dung phim được đặt trong một thế giới nơi các cánh cổng đột nhiên xuất hiện trên bầu trời, mở ra vô số ngục tối. Câu chuyện tưởng tượng nếu người chơi là một chủ tịch công ty sử dụng các nhà thám hiểm để đảm nhận các hầm ngục chứa đầy quái vật cho những kho báu nằm bên trong. Người chơi “tuyển dụng” hoặc huấn luyện các chiến binh, pháp sư, hiệp sĩ, thợ săn, rog, và các lớp nhân viên khác, sau đó phái các nhân viên vào trận chiến.","Anime,Hành động,Giả tưởng,Phiêu lưu",6.7,138,2020,https://animehay.life/upload/poster/3026.jpg
"Kamen Rider Zi-O NEXT TIME: Geiz, Majesty",,"Phim Kamen Rider Zi-O NEXT TIME: Geiz Majesty /VietSub Full HD tiếng việt thuyết minh, Nội dung phim sieu nhan này chính là phần đầu tiên của Kamen Rider Zi-O TIẾP THEO THỜI GIAN loạt các V-Cinema phim cho Kamen Rider Zi-O . Nó tập trung vào nhân vật Geiz Myokoin .câu chuyện siêu nhân này diễn ra vào tháng 9 năm 2019, và một nhóm học sinh trung học đang phấn khích hơn bao giờ hết để theo đuổi ước mơ của mình.  Sougo Tokiwa muốn trở thành một vị vua đáng khao khát, và Geiz (còn được gọi là Keito) làm việc không mệt mỏi để trở thành nhà vô địch judo thực thụ trong khi cố gắng gây ấn tượng với người yêu của mình, Alpina Tsukuyomi.  Tuy nhiên, một ngày nọ, khi Geiz bị giết trong một tai nạn bí ẩn, anh ta buộc phải chiếm lấy lớp áo của Kamen Rider Geiz, trong khi một sinh viên chuyển trường mới dẫn anh ta đến một âm mưu lớn. Đón xem Kamen Rider Zi-O NEXT TIME Geiz Majesty vietsub trên hệ thống của animehaynhat.com nhé các bạn, chúc các bạn xem vui vẽ và hạnh phúc nha.","Anime,Tokusatsu",8.4,20,2020,https://animehay.life/upload/poster/3037.jpg
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,"Re:ZERO: Starting Life in Another World - Frozen Bonds, Re:Zero kara Hajimeru Isekai Seikatsu OVA 2","anime kể về câu chuyện ova này diễn ra trước khi Emilia gặp Subaru và những người khác. Chúng ta có thể tìm hiểu thêm về Emilia và cách cô ấy sống cuộc sống hàng ngày với hầu như không có bất kỳ tương tác xã hội nào từ bất cứ ai, ngoài Puck (và có thể bạn có thể đếm anh chàng thị trường trong làng). Có điều là vào thời điểm đó, mọi người ghét Emilia vì họ nghĩ rằng cô ấy là phù thủy, đó là lý do tại sao cô ấy sống một mình. Ngoài ra, chúng ta có thể tìm hiểu thêm về Puck và cách anh ấy gặp Emilia.","Anime,Giả tưởng,Drama,Thriller",9.5,208,2019,https://animehay.life/upload/poster/3039.jpg
Infinite Dendrogram,,"Mô tuýp tương tự bộ anime ""vào thế giới game nào đó"" nhưng đi kèm nút logout, nơi mà mạng sống NPC quan trọng hơn cả người chơi. Bạn phải làm mọi cách để bảo vệ họ và keme lũ đồng đội... Chắc thế?!​","Anime,Hành động,Siêu nhiên,Trò chơi",9.1,371,2020,https://animehay.life/upload/poster/2959.jpg
Đứa con của thời tiết,Weathering With You | Tenki no ko,"Đứa Con Của Thời Tiết xoay quanh hai nhân vật: Hodaka và Hina. Hodaka là cậu thiếu niên sống trên một hòn đảo nhỏ, đã rời khỏi quê hương để đến Tokyo sầm uất. Tại đây, cậu quen biết với Hina - một cô gái kì lạ có năng lực thanh lọc bầu trời mỗi khi ""cầu nguyện"". Cô có khả năng chặn đứng cơn mưa và xua tan mây đen theo ý muốn.","Anime,Tình cảm,Siêu nhiên,Drama",9.8,926,2019,https://animehay.life/upload/poster/3042.jpg
BanG Dream! Season 3,,Mùa thứ 3 của series Bang Dream!,"Anime,Đời thường,Âm nhạc",9.1,74,2020,https://animehay.life/upload/poster/2981.jpg
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,,Tiếp nối phần trước Ginga Eiyuu Densetsu: Die Neue These - Seiran 2!,"Anime,Hành động,Drama",5.9,32,2019,https://animehay.life/upload/poster/2936.jpg
K: Seven Stories Movie 2: Side: Blue - Tenrou no Gotoku,,"Zenjou Gouki - cánh tay phải của vị Thanh Vương đã chết trong Thảm kịch Kagutsu, Habari Jin, cuối cùng cũng trở về làm việc cho SCEPTER 4. Đã nhiều năm trôi qua, những mặc cảm vì việc sát hại Vương vẫn còn trong anh. Cùng lúc đó, SCEPTER 4 tái tổ chức lại Thanh Tộc, Kusuhara Takeru dốc sức học tập dưới sự chỉ bảo của Zenjou, với mục tiêu được vào Đội Đặc nhiệm...","Anime,Hành động,Siêu nhiên,Drama",9.0,22,2018,https://animehay.life/upload/poster/3043.jpg
Heya Camp△,Room Camp,"Bộ anime được chuyển thể từ manga có chủ đề về hoạt động ngoài trời của Afro, Phim dựa trên series spin-off","Anime,Hài hước,Đời thường",8.6,54,2020,https://animehay.life/upload/poster/2952.jpg
Free! Movie: Road To The World - Yume,,Dù cho tương lai nào đang ở phía trước. Hãy tin vào bản thân và theo đuổi ước mơ! Chúng ta sẽ vững vàng chờ đợi. Phiên bản Movie của Season 3 |Dive to the Future|,"Anime,Hài hước,Học đường,Đời thường,Thể thao",8.2,52,2019,https://animehay.life/upload/poster/3045.jpg
Fragtime,"Flag Time, Flagtime, Frag Time","Bạn sẽ làm gì nếu có thể dừng được thời gian? Moritani sử dụng khả năng khác thường của mình là dừng thời gian trong ba phút mỗi ngày để quan sát những người xung quanh. Một ngày nọ, cô chọn ""quan sát"" quần lót của thần tượng trong lớp là Murakami, nhưng cô gặp phải một tình huống không ngờ khi cô bạn đó không bị ảnh hưởng bởi năng lực của mình.","Anime,Tình cảm,Viễn tưởng,Học đường,Đời thường,Shoujo AI",9.5,90,2019,https://animehay.life/upload/poster/3046.jpg
Mini Toji,,Hậu truyện sau khi các Đao Sứ đánh bại Đại Hoang Hồn nhưng họ vẫn tiếp tục chiến đấu để bảo vệ nhân loại dù đã dính phải độc dược APTX - 4869,"Anime,Hành động,Hài hước,Siêu nhiên",7.6,81,2019,https://animehay.life/upload/poster/2745.jpg
Bokura no Nanokakan Sensou,Our Seven-Day War,"Vào một ngày nóng nực ngay trước kỳ nghỉ hè, tất cả học sinh nam năm thứ nhất của lớp hai từ một trường trung học cơ sở đều biến mất. Có phải là một tai nạn? Một vụ bắt cóc nhóm? Trên thực tế, họ đã trốn trong một nhà máy bỏ hoang gần sông, và sử dụng nó như một khu vực giải phóng để nổi dậy chống lại người lớn. Người lớn đang rất bối rối bởi các hoạt động lớn và bất ngờ được hợp tác bởi các sinh viên nữ; vướng mắc với các vụ bắt cóc thực sự, một cuộc bầu cử thị trưởng bị hỏng, và thậm chí liên quan đến phụ huynh và phóng viên truyền hình, những người đang vui mừng vì phát thanh giải phóng và rào chắn. Bí ẩn hài diễn ra theo nhịp độ nhẹ nhàng không mang đến cho khán giả cơ hội để thở cho đến khi kết thúc rực rỡ đầy châm biếm. (Nguồn: Tin tức MAL)","Anime,Hành động,Hài hước,Drama",9.0,66,2019,https://animehay.life/upload/poster/3047.jpg
Shironeko Project: World End - Light Of Destiny,,Câu chuyện về hồi kết của thế giới. Một số phận cứ lặp đi lặp lại.,"Anime,Hành động,Giả tưởng,Phiêu lưu",8.6,40,2018,https://animehay.life/upload/poster/3049.jpg
Baki 2nd Season,,"Mùa 2 của Baki  Trong khi nhà vô địch võ thuật Hanma Baki khổ luyện để vượt qua người cha huyền thoại, năm tử tù hung tợn bất ngờ đến Tokyo để thách đấu anh.","Anime,Hành động,Võ thuật,Shounen",8.7,143,2020,https://animehay.life/upload/poster/3050.jpg
Hatena☆Illusion,Hatena Illusion,"Câu chuyện xoay quanh Makoto Shiranui, một cậu bé đến từ Tokyo đang tìm cách trở thành người học việc của Mamoru Hoshisato – một pháp sư nổi tiếng trên thế giới và là bạn của bố mẹ cậu. Kể từ khi được xem chương trình của Mamoru và vợ của ngài ấy – Maive, cậu đã có ước mơ trở thành một pháp sư. Con gái của họ – Kana (biệt danh là Hatena) là bạn từ nhỏ của Makoto.","Anime,Tình cảm,Hài hước,Siêu nhiên,Ecchi",7.9,134,2020,https://animehay.life/upload/poster/2963.jpg
Housekishou Richard-shi no Nazo Kantei,,"Phim kể về Richard Ranashinha Dvorpian, một chuyên gia thẩm định trang sức đẹp trai người Anh và Seigi Nakata, một sinh viên đại học Nhật Bản thông minh và chính trực. Bộ đôi này giải quyết các trường hợp khác nhau liên quan đến trang sức bằng cách làm sáng tỏ các khía cạnh tâm lý ẩn giấu của chủ sở hữu của họ nằm trong đá quý.","Anime,Bí ẩn",8.2,67,2020,https://animehay.life/upload/poster/2977.jpg
